Type,News
Real,Many types of fish and shellfish from waters across the state are labeled unsafe to eat.
Real,"November 2012 was ""a record year of turnout. More people voted before Election Day using absentee ballots and voting early than ever before in our history."""
Real,"Research performed by economists has shown no consistent, positive impact on jobs, income or tax revenues arising from stadiums or sports franchises."
Real,"The R.I. Turnpike and Bridge Authority ""was supposed to exist only until the bonds used to build the Newport Bridge were paid off through tolls. Once the bonds were paid, the Newport Bridge was to be transferred to the State of Rhode Island and become toll-free."""
Real,"The unemployment rate is declining faster in Tampa ""than almost anywhere else."""
Real,Says no city comparable in size to Austin or smaller was broken into as many congressional districts.
Real,"Says Barack Obama ""promised he would cut the deficit in half"" but didnt."
Real,"In every state, women are paid less than men."
Real,"Every poll you see, the overwhelming majority of people want [E-Verify]."
Real,"Says ""cities save an estimated $38 in dental costs for every $1 invested in fluoridation."""
Real,"President Barack Obama ""had the legal authority"" to strike Syria without a vote from Congress."
Real,"The president can ""authorize the killing of a U.S. citizen who fights for a foreign terrorist organization."""
Real,"If you look at last year's presidential campaign, ""you can't find a mention of public option."""
Real,When is a farm bill not a farm bill? When 90 percent of it is for food stamps.
Real,The No. 1 cause of death for African-American males15-34 is murder.
Real,"The people who want President Barack Obama impeached ""are all white, they're all older, and guess what, they're in the far right wing of the Republican Party."""
Real,Less than half of the poorest American households have a home Internet subscription.
Real,"Says Dan Patrick ""proposed Arizona-style show-me-your-papers legislation."""
Real,"Says Mitt Romney told university students in Ohio that to start a business, they should ""borrow money if you have to from your parents."""
Real,Says Milken Institute rated San Antonio as nations top-performing local economy.
Real,Says Milken Institute rated San Antonio as nations top-performing local economy.
Real,"Up ""to 45 percent"" of illegal immigrants ""are not people that physically crossed the southern border or northern border. They are visa overstayers."""
Real,"Were seeing now 30 straight months of private-sector job growth, 4.6 million jobs created."
Real,Seven presidents before (Barack Obama) -- Republicans and Democrats -- tried to expand health care to all Americans.
Real,All travelers -- even babies -- arriving in the U.S. by air must have a passport.
Real,The health insurance plan that (members of Congress) have is no different than any other federal employee's in the United States government.
Real,"If you have a job in this country, (there's a) 97 percent chance that you're not going to be in poverty."
Real,Ohio currently ranks 50th out of all states in income growth.
Real,"The Seattle Times called Patty Murray ""a 'prolific sponsor of earmarks.' Patty even defended the 'Bridge to Nowhere.' """
Real,The UK has an unarmed police force and a firearm fatality rate that is 40 times lower per capita than in the U.S.
Real,"Says Jeb Bush ""said low-income women should get their life together and find a husband.'"""
Real,African Americans are twice as likely to be arrested and almost four times as likely to experience the use of force during encounters with the police.
Real,"The top one-tenth of 1 percent of Americans ""own almost as much wealth as the bottom 90 percent."""
Real,"For African-Americans between the ages of 17 and 20, ""the real unemployment rate  is 51 percent."""
Real,The gap between the very rich and everyone else in America is wider today than at any time since the 1920s.
Real,"A black male baby born today, if we do not change the system, stands a one-in-three chance (of) ending up in jail."
Real,99 percent of all new income today (is) going to the top 1 percent.
Real,"Half of all Americans have less than $10,000 in their savings account."
Real,"In 1990, the U.S. led the world in the percentage of 25-34 year olds with college degrees. Today we are in 12th place."
Real,"In 1952, the corporate income tax accounted for 33 percent of all federal tax revenue. Today, despite record-breaking profits, corporate taxes bring in less than 9 percent."
Real,The (New England) Patriots were led by an explosive offense that scored the second most points in the NFL.
Real,"47 percent of Americans""cant pay for an unexpected $400 expense through savings or credit cards, without selling something or borrowing money."""
Real,"The radiation coming from the new TSA body scanners is ""equivalent to about three minutes' worth of air travel by anybody, say, at 30,000 feet."""
Real,Says he would be first CPA to serve as Texas comptroller.
Real,The murder rate in Atlanta is on the rise this year.
Real,"Says female genital mutilation is ""a central African problem,"" not an Islamic problem, as Bill Maher suggested."
Real,"The Senate health care bill ""would leave 24 million people without insurance coverage."""
Real,Says most of Perry's chiefs of staff have been lobbyists.
Real,"By the end of Governor Rick Perry's term, he will have drained Texas taxpayers ... of more than $360,000 to pay for the rental mansion he has been living in while the historic Governor's Mansion is repaired."
Real,There's almost 1 million Texans who are unemployed and that's an all-time record number in our state.
Real,Debt has almost doubled in Austin under Gov. Perry.
Real,Our (Texas) graduation rate ranks 43rd out of 50 states.
Real,"During his tenure as mayor, he ""saw Houstons crime rates drop to the lowest levels in more than 25 years."""
Real,Rick Perry has become a millionaire on the public payroll.
Real,"Says Rick Perry told students he couldn't attend a gubernatorial forum due to scheduling conflicts, then on forum day ""tweeted that he'd just been running with his dog."""
Real,"Texas has ""a higher unemployment rate than neighboring states."""
Real,The state budget has gone up over 80 percent under Rick Perry.
Real,Rick Perry accepted more stimulus funds than any other governor except the governors of California and New York.
Real,"Gov. Rick Perry broke  his promise that he  would not accept a $40,000 pay increase."
Real,"Rick Perry attempted to fast-track unnecessary coal-fired power plants, which degrade air quality and would cost billions. Fortunately, a court stopped him."
Real,"Texas is experiencing the fastest population growth in the country, adding ""more than 1,000 people a day."""
Real,The U.S. has now spent more on reconstructing Afghanistan than was spent on the Marshall Plan and the reconstruction of Europe.
Real,"If it is enacted, the Senate immigration bill is ""going to make the Border Patrol bigger than the FBI -- you could put one agent every 250 feet."""
Real,More astronauts have been to the moon than farmers who paid the inheritance tax in 2013.
Real,"We're fifth in the world (in executions), behind China, Iran, Iraq and Saudi Arabia."
Real,"The average fast food worker is 29, and most fast food workers ""are on some form of public assistance."""
Real,"In Atlanta, since 1994 when the Seven Deadly Sins (mandatory minimum sentences) took effect, the violent crime rate has dropped 62 percent."
Real,You may have driven the length of a football field in the five seconds it takes to check a text.
Real,"Some businesses in Oregon ""are having to shrink back their businesses as a result of the law."""
Real,A majority of drunk driving deaths and injuries are caused by drunk driving offenders with no prior convictions.
Real,"Since 1999, all Virginia Lottery profits have been used for public education in the Commonwealth for kindergarten through 12th grade."
Real,The Republican presidential nominee hasnt won women since 1988.
Real,"If sea levels rise six feet due to climate change, Waterplace Park in Providence and Wickford village would be swamped"
Real,"Last year -- actually, this year in May -- we saw New Jersey Transit fares rise anywhere from 25 percent to 47 percent."
Real,Tells President Barack Obama that he also asked former President George W. Bush about how he felt about Americans hating him.
Real,A Democratic poll operation shows that Fox News is the most trusted news operation in the country.
Real,"Russia and China ""absolutely said clearly"" they would not keep economic sanctions on Iran if the United States ""walked away from the deal."""
Real,"When I go on Letterman the ""ratings go up."""
Real,"More than 50 percent of immigrants from (El Salvador, Guatemala and Honduras) use at least one major welfare program once they get here."
Real,"Says Nelson Mandela ""was a communist."""
Real,The right-to-work states have much lower level of unemployment than the union states do.
Real,More women are graduating from college now than men.
Real,The Senate health care bill does not contain limits on medical malpractice lawsuits.
Real,"To give the proposed economic stimulus plan some perspective, ""if you started the day Jesus Christ was born and spent $1 million every day since then, you still wouldnt have spent $1 trillion."""
Real,"Says Secretary of State John Kerry, ""when he was a senator, flew to Managua and met with a communist dictator there, Daniel Ortega, and accused the Reagan administration of engaging in terrorism."""
Real,"Raising the minimum wage to $10.10 an hour ""will destroy between half a million and one million jobs."""
Real,The minimum wage is mostly an entry-level wage for young people.
Real,"Says Health and Human Services Secretary Kathleen Sebelius told insurance companies ""they couldn't inform their policyholders of what they thought the impact of Obamacare would be on them."""
Real,"$100,000 in  stimulus funds (were) used for a Martini Bar and Brazilian Steakhouse."
Real,"If Obama's economic plan creates 600,000 new government jobs, ""that's about the size of the post office work force."""
Real,"Ken Buck wants to ""outlaw abortion, even in cases of rape or incest."""
Real,"Says that ""Tennessee law requires that schools receive half of proceeds -- $31 million per year"" -- from a half-cent increase in the Shelby County sales tax."
Real,"Says state's expected ""increase in federal political clout  is almost entirely due to  the growth of the African American and  Hispanic populations in Texas in  virtually every region of the state."
Real,Says Obama broke his promise to offer a comprehensive immigration bill in his first year.
Real,Says Obama promised to cut the deficit in half.
Real,Forty-seven percent of Americans pay no income tax.
Real,"At Bain Capital, ""we helped start an early childhood learning company called Bright Horizons that First Lady Michelle Obama rightly praised."""
Real,"In his first TV interview as president, Obama said we ""should talk to Iran."""
Real,"Half the kids coming out of college this year  can't find a job, or a job that's consistent with a college degree."
Real,"In 2008, candidate Barack Obama attacked John McCain for proposing cuts to Medicare."
Real,"As president, Barack Obama has never visited Israel."
Real,"Says ""Rick Santorum supported (Arlen) Specter over conservative candidates twice."""
Real,"If you take into account all the people who are struggling for work, or have just stopped looking, the real unemployment rate is over 15 percent."
Real,"Says Newt Gingrichs contract was with ""the lobbyists at Freddie Mac."""
Real,Says he followed state law and the precedent of other Massachusetts governors when he erased electronic communications as he left office.
Real,The people in Massachusetts like (the state health care plan) by about a 3-1 margin.
Real,"In writing his book, Gov. Perry pointed out that  by any measure Social Security has been a failure."
Real,"In the month of January, Canada created more new jobs than we did."
Real,"The lifespan of the average American is less than that of people in nations that spend far less (on health care). ... To put it bluntly, we spend more and die sooner."
Real,"John McCain has said the economy is ""not his strong suit."""
Real,Two-thirds of our economy is a consumer economy.
Real,"Now, I also support the Bush tax cuts. Sen. McCain voted against them originally. He now believes they should be made permanent. I'm glad he agrees they should be made permanent."
Real,(My dad) used to campaign against the gas-guzzling dinosaurs.
Real,Sen. McCain says it was not a mistake to vote against the Bush tax cuts ... but now says the tax cuts need to be made permanent.
Real,"Former business partner Robert Gay says: ""The man who helped save my daughter was Mitt Romney."""
Real,"Huckabee ""granted 1,033 pardons and commutations . . . more clemencies than the previous three governors combined."""
Real,"Romney said ""'No' to in-state tuition"" for illegal immigrants."
Real,"In the African-American community today, 68 percent of kids born are born out of wedlock."
Real,The mayor said  'if you happen to be in this country in an undocumented status . . . then we welcome you here.  We want you here.  We'll protect you here.' 
Real,"The truth of the matter is that during my administration, the FBI's crime statistics show that violent crime was reduced in Massachusetts by 7 percent."
Real,"We had a No Child Left Behind  a similar piece of legislation in our state a number of years ago, well before the federal law. And it's had a big impact here. It's improved schools."
Real,I don't think that Rudy or Fred or John McCain support the marriage amendment.
Real,Senator McCain voted against the Bush tax cuts. Now he's for them.
Real,Health insurance is more expensive in Massachusetts than anywhere else in the country.
Real,Rhode Island has taken its federal Medicaid funding and shown it can run the program more cost-effectively than the federal government.
Real,"6,400 Ohioans ... lost manufacturing jobs in the month of September."
Real,Pakistan has 100 nuclear warheads and theyre rushing to build a lot more. Theyll have more than Great Britain sometime in the relatively near future.
Real,"I went to the Olympics that was out of balance, and we got it on balance."
Real,The president said he was going to create daylight between ourselves and Israel.
Real,"Says a university survey concluded his Massachusetts administration ""had more women in senior leadership positions than any other state in America."""
Real,"Says Barack Obama has pension investments that include Chinese firms, and ""investments through a Caymans trust."""
Real,"Massachusetts schools ""are ranked No. 1 of all 50 states."""
Real,Were now spending 42 percent of our economy on government.
Real,"Says Barack Obama's comments indicate he ""believes in redistribution"" of wealth."
Real,Fifty percent of kids coming out of school can't get a job.
Real,"The Supreme Court said the individual mandate ""is a tax. So it's a tax."""
Real,"There are ""49 different federal job training programs that report to eight agencies."""
Real,President Obama's suggested reduction in spending for next year: $0.
Real,"Says Newt Gingrich said ""Spanish is the language of the ghetto."""
Real,"Our income, our GDP per capita, is almost 50 percent higher than (it is for) the average European."
Real,"Says he ""helped save"" the Olympic games."
Real,"Newt Gingrichs immigration plan offers ""a new doorway to amnesty."""
Real,"Massachusetts has ""less than 1 percent of our kids that are uninsured. You (Gov. Perry) have a million kids uninsured in Texas."""
Real,"Says that illegal immigrants get a $100,000 break on University of Texas tuition over four years."
Real,"Says that in his book, Rick Perry said that ""Social Security is unconstitutional."""
Real,"Says that 500,000 federal workers -- one-fourth of the federal workforce -- make more than $100,000 a year."
Real,"Says he worked with the Democratic legislature to balance spending with revenues so that ""at the end of my four-year term, the rainy day fund was established at more than $2 billion."""
Real,"Says that under President John F. Kennedy, ""government took up"" 27 percent of the economy, and today it ""consumes 37 percent."""
Real,"By the end of his first term, President Obama will have added as much debt as all the prior 43 presidents combined."
Real,"Hospitals, doctors, MRIs, surgeries and so forth are more extensively used and far more expensive in this country than they are in many other countries.''	Pay this bill and call me in the morning 	/truth-o-meter/statements/2010/mar/22/mitt-romney/romney-overstates-united-states-medical-costs-and-/	
Mitt Romney	1	McCain opposes repeal of the death tax."""
Real,"Mike Huckabee ""supported taxpayer-funded scholarships for illegal aliens."""
Real,Mayor Giuliani's lawsuit killed the line-item veto.
Real,"Mitt Romney boasts that he is ""proud to be the only major candidate for president to sign the tax pledge. The others have not."""
Real,Took on the Olympics and turned them around
Real,(McCain) was opposed to ethanol. Now he's for it.
Real,"Says Texas has one state inspector for every 4,500 oil and gas wells."
Real,"Historically, Senate ratification of arms control treaties ""has been bipartisan."""
Real,"Every month, another 50,000 U.S.-born Hispanics turn 18 and become eligible to vote."
Real,"With the exception of slavery and the Chinese Exclusion Act, our laws have never barred persons from becoming citizens."
Real,Says he was the only statewide elected official to speak in favor of a federal guest worker plan at the 2012 Republican Party of Texas convention.
Real,Says Barack Obama didn't keep his promise to have an immigration bill in his first year.
Real,"Says Texas General Land Office has earned the school  children of Texas $451,932.89 on wind leases that haven't produced a  watt of energy."""
Real,Firearms homicides are down about 40 percent since Texas passed concealed-gun permit law.
Real,Says a portfolio managed by the Texas General Land Office earned 22 percent last year while the states emergency reserve account experienced a 1 percent gain.
Real,"Were making more than  ever off oil and gas right now, but its no secret that oil production  in Texas peaked in the 1970s."
Real,"There are ""850,000 Ohio jobs tied to the auto industry."""
Real,Rob Portman won the fewest votes of all Ohio U. S. Senate victors since 2000.
Real,FACT: the special assistant in @johnkasich's office makes over three times more than an average #OH firefighter
Real,"A family of four can make up to $88,000 a year and still get a subsidy for health insurance under the new federal health care law."
Real,"Says Charlie Crist rode on a jet that ""belongs to a serial polluter with a history of environmental violations fined nearly $2 million for polluting water."""
Real,"In 2006, Charlie Crist opposed in-state tuition for illegal immigrants."
Real,"Says Charlie Crist ""raised taxes on the middle class"" by $2.2 billion."
Real,"Gov. Rick Scott cut the cost of prepaid college tuition by nearly $20,000."
Real,"Charlie Crist ""raised taxes in 2009 and won't rule out raising taxes again."""
Real,"Rick Scott ""invested $38 million in the Port of Jacksonville's vital Mile Point Project,"" which ""covered missing federal funds for the project."""
Real,"U.S. Rep. Alan Grayson ""compared a former vice president to a vampire ... and compared America's health care system to the Holocaust."""
Real,"Georgia has the 9th highest rate of adults, ages 18 to 64, without a high school diploma or GED."
Real,Federal investigators found a company that (David Perdue) ran discriminated against women -- paid them less than men for the same work.
Real,"A lot of what (Cubas) survival depends on is Venezuelan oil money, which is drying up."
Real,Wisconsin still ranks first among the 50 states in manufacturing jobs per capita.
Real,"As Dane County executive, Kathleen Falk raised property taxes by ""millions of dollars every year"" and approved the second highest increase in the state in 2010."
Real,About two-thirds of all consumption is services. . . It was just the opposite when the sales tax was enacted in the '30s.
Real,Caution: Kissing and cuddling chickens can be hazardous to your health.
Real,Wisconsins attorney general and state treasurer ordered the daughter of Earth Day founder Gaylord Nelson not to discuss climate change on state time.
Real,"Says ""if current trends continue, by 2040, one out of three Texas workers will not have a high school diploma."""
Real,Says businesses pay roughly 60 percent of taxes in Texas.
Real,"The extra point is almost automatic.  (The NFL) had five missed extra points this year out of 1,200 some odd attempts."
Real,"NFL ""players are living, on average, longer than the average male."""
Real,Finance experts estimate that paying in cash for the $2.5 billion in projects funded by the sales tax saved Gwinnett County more than $1 billion in interest payments.
Real,"[E]mployment in Gwinnett is up more than 3 percent over last year, and unemployment is the lowest of the five core metro counties."
Real,Annual water usage in 2010 was actually down more than 18 percent from usage in 2006.
Real,There are countries in Africa where they have higher vaccination rates than here in the United States.
Real,You have to get a license to fish on our beaches.
Real,"Says his elections proposal would allow ""a potential of 168 hours (of early voting), which I think is the most weve ever had."""
Real,"Florida has ""more concealed weapons permits than any other state."""
Real,We are at a 40-year low in our crime rate in our state.
Real,"Florida ""unemployment has dropped more than 2 percentage points, down from 12 percent to 9.9 percent, the second-largest drop in the nation."""
Real,"At nearly 19 million people, the population of Florida is larger than all the earlier primary and caucus states combined."
Real,Almost 10 percent of Canadians came to visit Florida last year ... (Canadians) buy 7.4 percent of our homes in the state.
Real,We already have $23 billion worth of debt.
Real,We know that every 85 visitors create one Florida job.
Real,We ... sold the state airplanes as I had promised.
Real,Says the military accounts for about 10 percent of Florida's economy.
Real,Your tellers were paid kickbacks for directing elderly consumers from ... safe deposits to risky ones.
Real,"Jennifer Carroll is the ""first African-American Republican woman to be part of a statewide ticket in Florida."""
Real,"Thanks to you, in under one week we have the largest GOP (Facebook) page in the Governor's race!"
Real,"The average person only pays about $1,800 in state taxes  which is the lowest of all 50 states."
Real,Candidates for governor routinely disclose their spouses tax returns.
Real,Charlie Crist allowed college tuition to increase up to 15 percent every year.
Real,"Since December 2010 Florida has created 540,000 new jobs."
Real,Florida ranks first in the nation for access to free prekindergarten.
Real,"Over the past 35 years, Florida families have paid into the (National Flood Insurance Program) over $16 billion, four times more than the amount they have received in claim reimbursements."
Real,We cut business taxes so today 70 percent of our businesses don't pay a business tax.
Real,"This budget also reflects the smallest state government workforce per 1,000 residents in Florida in this century."
Real,"For the first time in eight years, our budget also increases funding for persons with disabilities by $36 million to help more disabled people receive community-based services."
Real,"Says a recent study shows Florida students are second in the world in fourth grade reading, behind Singapore."
Real,"Florida has ""1,200 golf courses. I think 58 million rounds played a year in Florida. Weve got 44 percent of all travel golf in the country here. 5 million people come here just for golf."""
Real,"About 230,000 people that were on unemployment when I took office are not on unemployment now."
Real,"In some communities, for $10,000 worth of (PIP) coverage its $1,500 a year."
Real,"We are poised to get rid of over 1,000 more regulations in 2012."
Real,Says the state tax burden per citizen in New York is twice as high as in Florida.
Real,"In the past year, Floridians, not government, created almost 135,000 new private sector jobs. We netted more than 120,000 total jobs in the first 11 months of 2011; the third most of any state in the nation."
Real,Says adding toll lanes on I-95 in Broward County improved rush-hour traffic for non-toll lanes from 25 mph to 45 mph.
Real,Says the Panhandle has had its highest-ever bed tax collections in 2011.
Real,"Since I took office, weve created 76,800 jobs."
Real,"Says he vetoed $250,000 from the budget for a program to learn how to catch rainwater."
Real,Hackers broke into Virginia's prescription-drug database (and) ... obtained more than 8.2 million patient records and a total of nearly 36 million prescriptions.
Real,"According to 2009 estimates, an agreement with Panama could result in almost 1,900 Florida jobs in thefirst year  and about 15,000 jobs afterfive years."
Real,I delivered to you a budget that ... cuts taxes by $2 billion.
Real,"On my first day in office, I ordered a review of every regulation in the pipeline and every contract exceeding $1 million."
Real,"Says the high-speed rail project provides ""short-term jobs."""
Real,We are the only state in the country that state employees don't contribute [to their pensions].
Real,Most of the newspapers that endorsed Alex Sink also endorsed Barack Obama.
Real,We have 50 state lobbyists that just lobby the Legislature for money every year.
Real,"My 7-step plan creates 700,000 jobs in 7 years."
Real,Bill McCollum holds the same position on (embryonic stem cell research) as Barack Obama.
Real,Two-thirds of the top-rated hospitals in Florida were our hospitals.
Real,Ninety-seven percent of Americans do not receive subsidies for health care under the Affordable Care Act.
Real,"The Islamic State, or ISIS, was ""cast off by al-Qaida because"" it was ""considered too extreme."""
Real,We are one of the most expensive [bus] rides in New England.
Real,There are still tens of thousands of missing service members from previous and current conflicts that our nation is working to find and repatriate.
Real,Wisconsins dead last in Midwest job growth.
Real,New Glarus Brewing Co.s Spotted Cow is available only in Wisconsin.
Real,"We have 41,000 people right now on the waitlist for financial-based assistance for our tech colleges and universities, most of them for tech schools."
Real,"Under Scott Walker, ""right now, were 46th in the country in terms of new businesses started."""
Real,"Wisconsin is ""38th in the country in terms of proficiency standards"" in student testing."
Real,"The typical Wisconsin worker makes $5,000 less each year than our neighbors in Minnesota under Gov. Scott Walkers policies."
Real,"The Wisconsin school voucher program ""has no research that shows that its going to improve student learning."""
Real,"In Wisconsin, a woman only earns 80 cents for every $1 a man earns."
Real,"Our state economic development agency under Walker, WEDC, actually isnt even using the funds that are appropriated to it."
Real,Were 49th in the United States in new businesses created.
Real,"Under Gov. Scott Walkers proposals, ""Money is being taken away from workers, and the tax breaks given to major corporations. """
Real,"An audit shows ""there are 6.5 million people who have active Social Security numbers who are 112 years of age or older,"""
Real,"Right now, America has $1.1 trillion of student debt. Thats more than credit card debt."
Real,The U.S. would gainrevenue by cutting personal income tax rates in half and ending tax breaks.
Real,"Right now we are spending at an all-time high, close to 25 percent of our GDP [is] being spent on the federal government. But our revenues are at an almost all-time low of about 15 percent [of GDP]."
Real,There used to be 16 workers for every one person on Social Security. ... Now its three.
Real,The U.S. loses more on tax breaks than it collects in personal income taxes.
Real,The national debt grew an estimated$15 billion last weekend.
Real,"$65 billion ""would be added to the deficit if we keep the cuts for people on the highest incomes."""
Real,One in 19 Americans today get SSDI or SSI. That's one in 19 Americans (who) are disabled.
Real,The American people will be appalled to learn the health care bill exempts (congressional) leadership and committee staff.
Real,I am now the No. 2 member of this House in terms of length of service.
Real,We havent had control of the House for the last two years and its been malfunctioning. We had 109 sessions scheduled and held 49.
Real,75 percent of the jobs created in the state of Ohio are created in small business. They are not created by huge corporations and those who are very wealthy.
Real,"Says ""half the Americans don't pay any income taxes."""
Real,"Tourism accounts for 439,000 jobs in the state of Ohio, and visitors spend $36 billion annually."
Real,"A ""foreclosure tax"" that would take effect in 2013 could mean a high tax bill for those facing foreclosure and millions of families who modified their mortgage or had a short sale through their lender."
Real,There are more than 46 million Americans living in poverty today -- the largest number in 54 years.
Real,"Many state and federal agencies have such navigators involved in helping folks maneuver through the often complex processes associated with filing benefits claims, for example -- even buying health insurance."
Real,"Says Connie Mack ""wrote a letter to the Department of Transportation in order to get $29 million in stimulus for his congressional district."""
Real,"In the 2000 Florida election, at least 1,100 eligible voters were wrongly dropped from voting rolls in an attempt to purge a list of felons. Many of those who were dropped showed up to vote and were told they could not."
Real,The entire state of Florida led the nation last year with the most prison inmates committing tax fraud.
Real,"Says Gov. Rick Scott returned ""$1 million in federal funding that would have helped the state cover the cost of overseeing insurance rates under the new health care law."""
Real,"Says Connie Mack was ""the only member of the Florida delegation that voted against a bill to help NASA."""
Real,"Says Connie Macks Penny Plan would cut ""over $200 billion out of Medicare, over $1 trillion out of Social Security. ... $3 trillion out of defense."""
Real,"In 2012, Connie Mack missed 178 votes, ""one of the worst voting records"" in Congress."
Real,"Says Connie Mack IV has been ""a promoter for Hooters with a history of bar room brawling, altercations and road rage."""
Real,"Says it wasn't until he and a Senate colleague were able to ""wrangle the actual streaming video"" from BP that scientists were able to calculate the oil spill flow."
Real,55 percent of the people who cast a provisional ballot (in Florida) in the last presidential election -- their vote did not count.
Real,The amount of the revenue required by the state (for the construction of high-speed rail) is around 10 percent.
Real,"Oil money from federal leases ""can only be used to clean up the mess and damages from drilling."""
Real,A strong majority of Americans support the Keystone XL pipeline.
Real,"To give a sense of how families are struggling, a record four out of every 10 school kids in Ohio now qualifies for subsidized lunch."
Real,A 0.05 standard for drunken driving means having a glass of wine at dinner could make a person drunk.
Real,"Says she has bipartisan support, including ""53 sheriffs throughout the state, Democrats and Republicans."""
Real,"Says she heard more than 2,400 cases as a Wisconsin appeals court judge"
Real,Most state employees did not receive any pay raise from 2009 to 2012.
Real,"Amendment 2 on medical marijuana won a higher percentage of the vote than the last six Florida governors, including Jeb Bushs 2002 landslide."
Real,Says Texas lawmakers last year expanded public educations share of state spending.
Real,"For the first time in 35 years, we have more businesses dying than we do starting."
Real,The Iranians are now saying that what we're saying the deal is and what they understand it to be are two different things.
Real,"A private company building a natural gas pipeline into Florida ""is being forced to spend months under the review of six federal agencies."""
Real,"Just days ago, Iran's Supreme Leader (Ali) Khamenei, who will oversee implementation of this agreement, was calling Israel a 'rabid dog' and accusing the United States of war crimes."
Real,I did not support the sequester.
Real,Our economy actually shrank during the last three months of 2012.
Real,A million people a year come into the U.S. legally. No other country even comes close to that figure.
Real,"When Social Security first started, there was 16 workers for every retiree. Today there are three workers for every retiree and soon there will be only two for every retiree."
Real,Some of the men serving in the (Afghan) armed forces have never driven a vehicle before.
Real,Forty cents of every dollar being spent by the federal government is being borrowed from my children.
Real,Weare picking up oil with shovels and paper and plastic bags.
Real,"Charlie Crist ""bizarrely vetoed"" $9.7 million for a teaching hospital at the University of Florida ""despite having previously argued the budget request had merit."""
Real,By registration fewer than 20 percent of Florida voters are Independents.
Real,"Since that famous day in February where the governor campaigned with  Barack Obama on behalf of the stimulus program, 211,000 Floridians have  lost their jobs."
Real,Just this week we received the news that for the first time Social  Security is now paying out more in benefits than it's taking in. That  was something that was supposed to happen in 2016.
Real,"The Associated Press called Charlie Crist's attacks ""over the top,"" ""out of context,"" and ""not true."""
Real,"We have an Army that just cut 40,000 spots."
Real,"Says that Donald Trump ""supported Charlie Crist."""
Real,This is the most generous country in the world when it comes to immigration. There are a million people a year who legally immigrate to the United States.
Real,"Forty percent of people in this country, illegally, are overstaying visas."
Real,"We have a legal immigration system in America that accepts 1 million people a year, legally. No other country in the world even comes close to that."
Real,"Inflation-adjusted defense spending has declined 21 percent since 2010, and even if we discount the drawdowns in Iraq and Afghanistan, it has still declined by a dangerous 12 percent."
Real,"Administrative employees at colleges and universitieshave ""more than doubled over the last 25 years, outpacing the growth of students by more than 2 to 1."""
Real,"The reason why Cubans don't have access to 21st century telecommunications  like smart phones, like access to the Internet  is because it is illegal in Cuba."
Real,"In the U.S. agreement with the Cuban government, ""no commitment was made to allowing the establishment of political parties or to even begin the semblance of a transition to a democracy."""
Real,No other country has a constitutional right like the Second Amendment.
Real,"Marriage ""decreases the probability of child poverty by 82 percent."""
Real,"In my home state, nearly one in five Floridians live in poverty."
Real,The reason we have a national debt is not because of defense spending. What is driving our long-term debt are Medicare and Social Security programs.
Real,I still live in the same working-class neighborhood I grew up in.
Real,"The United States has ""an immigration system where only 6.5 percent of people who come here, come here based on labor and skill."""
Real,There is an increasing amount of evidence from public polling that the highest number of Americans ever identify themselves as pro-life.
Real,"No candidate has run more negative ads in American history than Barack Obama did in 2008, especially in the general.	Because Obama ran the most ads, period	/florida/statements/2012/feb/06/marco-rubio/marco-rubio-no-candidate-has-run-more-negative-ads/	
Marco Rubio	1	We have not had unemployment this high for this long since the Great Depression."""
Real,"From now on, we have to pay the Russians $50 million an astronaut to send Americans to the space station"
Real,"Anywhere in the world, when someone uses a mobile phone, e-mail, the Internet or GPS, they are enjoying the benefits of the American miracle."
Real,"To pay for government growth, leaders of both parties ""borrowed $4 billion a day, leaving us with today's $14 trillion debt."""
Real,Corporate taxes will soon be the highest in the industrialized world.
Real,"The years that I was speaker, the Florida House consistently offered leaner budgets than the governor offered."
Real,"If we ban the practice of earmarks, we could save the American taxpayer anywhere between $15 (billion) to $20 billion dollars a year in pork-barrel spending."
Real,"$120,000 will be spent by taxpayers on Charlie Crist's political photo-op special session."
Real,Close to half of the folks in this country illegally entered legally (but) overstayed (their ) visas.
Real,The hole in the earth thats going to be dug (for the proposed Gogebic mine) is bigger than my entire district.
Real,Says Romney flip-flopped on abortion.
Real,"(Jeb) Bush, not the State of Florida, decided which private emails to disclose."
Real,Says Rick Scott presided over cuts to the Bright Futures college scholarship program.
Real,"Says U.S. Rep. Connie Mack IV passed ""only one bill"" in seven years."
Real,"Says federal regulations adopted in 2011 increased the cost of each vehicle for his business by $10,000."
Real,I would be the first Republican senator elected in New Jersey in 41 years.
Real,Sixty percent of New Jersey doctors do not accept Medicaid patients.
Real,"Says a state bill checks the spending habits of the Milwaukee County Board of Supervisors by ""bringing it in line with other county boards around the state."""
Real,"In Rhode Island ""there are 150 different pension plans for public workers."""
Real,Theres actually 600 abortions done after the 20th week of pregnancy every year in Ohio.
Real,"[When I was mayor] Providence was one of the five renaissance cities of America, according to USA Today in those days. Money magazine said it was the fifth best city to live in in America. In addition to that, All Cities Almanac said in 1994, I believe, that it was the safest city in America."
Real,"Mike Trainor...still owes $250,000 to the state."
Real,"Over 80 percent of the people want the shot to vote on whether to approve same-sex marriage, according to polls."
Real,The 2012 National Survey on Drug Use and Health found that up to half of daily marijuana smokers become addicted -- an estimated 2.7 million people in the U.S.
